Unique ID,3-Year Period,Cause of Death,Race,Hispanic or Latino  Origin,Gender,"Age-Adjusted Rate per 100,000 Population",Lower 95% Confidence Interval,Upper 95% Confidence Interval
A2009201146300,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Total,Total,,,
A2009201146301,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Total,Male,,,
A2009201146302,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Total,Female,0.0,0.0,30.6
A2009201146310,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Not Hispanic,Total,,,
A2009201146311,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Not Hispanic,Male,,,
A2009201146312,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,72.6
A2009201146320,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Hispanic,Total,0.0,0.0,41.2
A2009201146321,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Hispanic,Male,0.0,0.0,142.0
A2009201146322,2009-2011,Intentional self-harm (suicide),American Indian/Alaska Native,Hispanic,Female,0.0,0.0,63.0
A2009201146400,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Total,Total,4.7,2.6,6.7
A2009201146401,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Total,Male,7.1,3.5,10.8
A2009201146402,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Total,Female,,,
A2009201146410,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Not Hispanic,Total,4.8,2.7,6.8
A2009201146411,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Not Hispanic,Male,7.3,3.6,11.0
A2009201146412,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Not Hispanic,Female,,,
A2009201146420,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Hispanic,Total,0.0,0.0,43.0
A2009201146421,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Hispanic,Male,0.0,0.0,166.1
A2009201146422,2009-2011,Intentional self-harm (suicide),Asian/Pacific Islander,Hispanic,Female,0.0,0.0,67.9
A2009201147000,2009-2011,Assault (homicide),Total,Total,Total,2.1,1.6,2.7
A2009201147001,2009-2011,Assault (homicide),Total,Total,Male,3.4,2.4,4.3
A2009201147002,2009-2011,Assault (homicide),Total,Total,Female,1.0,0.4,1.5
A2009201147010,2009-2011,Assault (homicide),Total,Not Hispanic,Total,2.1,1.5,2.7
A2009201147011,2009-2011,Assault (homicide),Total,Not Hispanic,Male,3.2,2.2,4.3
A2009201147012,2009-2011,Assault (homicide),Total,Not Hispanic,Female,1.0,0.4,1.5
A2009201147020,2009-2011,Assault (homicide),Total,Hispanic,Total,,,
A2009201147021,2009-2011,Assault (homicide),Total,Hispanic,Male,,,
A2009201147022,2009-2011,Assault (homicide),Total,Hispanic,Female,,,
A2009201147100,2009-2011,Assault (homicide),White,Total,Total,1.4,0.9,2.0
A2009201147101,2009-2011,Assault (homicide),White,Total,Male,2.1,1.1,3.0
A2009201147102,2009-2011,Assault (homicide),White,Total,Female,,,
A2009201147110,2009-2011,Assault (homicide),White,Not Hispanic,Total,1.1,0.6,1.7
A2009201147111,2009-2011,Assault (homicide),White,Not Hispanic,Male,,,
A2009201147112,2009-2011,Assault (homicide),White,Not Hispanic,Female,,,
A2009201147120,2009-2011,Assault (homicide),White,Hispanic,Total,,,
A2009201147121,2009-2011,Assault (homicide),White,Hispanic,Male,,,
A2009201147122,2009-2011,Assault (homicide),White,Hispanic,Female,,,
A2009201147200,2009-2011,Assault (homicide),Black,Total,Total,4.3,2.5,6.0
A2009201147201,2009-2011,Assault (homicide),Black,Total,Male,6.9,3.6,10.2
A2009201147202,2009-2011,Assault (homicide),Black,Total,Female,,,
A2009201147210,2009-2011,Assault (homicide),Black,Not Hispanic,Total,4.6,2.7,6.4
A2009201147211,2009-2011,Assault (homicide),Black,Not Hispanic,Male,7.6,4.0,11.1
A2009201147212,2009-2011,Assault (homicide),Black,Not Hispanic,Female,,,
A2009201147220,2009-2011,Assault (homicide),Black,Hispanic,Total,0.0,0.0,12.7
A2009201147221,2009-2011,Assault (homicide),Black,Hispanic,Male,0.0,0.0,38.4
A2009201147222,2009-2011,Assault (homicide),Black,Hispanic,Female,0.0,0.0,19.7
A2009201147300,2009-2011,Assault (homicide),American Indian/Alaska Native,Total,Total,0.0,0.0,18.5
A2009201147301,2009-2011,Assault (homicide),American Indian/Alaska Native,Total,Male,0.0,0.0,50.7
A2009201147302,2009-2011,Assault (homicide),American Indian/Alaska Native,Total,Female,0.0,0.0,30.6
A2009201147310,2009-2011,Assault (homicide),American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.2
A2009201147311,2009-2011,Assault (homicide),American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,95.6
A2009201147312,2009-2011,Assault (homicide),American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,72.6
A2009201147320,2009-2011,Assault (homicide),American Indian/Alaska Native,Hispanic,Total,0.0,0.0,41.2
A2009201147321,2009-2011,Assault (homicide),American Indian/Alaska Native,Hispanic,Male,0.0,0.0,142.0
A2009201147322,2009-2011,Assault (homicide),American Indian/Alaska Native,Hispanic,Female,0.0,0.0,63.0
A2009201147400,2009-2011,Assault (homicide),Asian/Pacific Islander,Total,Total,,,
A2009201147401,2009-2011,Assault (homicide),Asian/Pacific Islander,Total,Male,,,
A2009201147402,2009-2011,Assault (homicide),Asian/Pacific Islander,Total,Female,,,
A2009201147410,2009-2011,Assault (homicide),Asian/Pacific Islander,Not Hispanic,Total,,,
A2009201147411,2009-2011,Assault (homicide),Asian/Pacific Islander,Not Hispanic,Male,,,
A2009201147412,2009-2011,Assault (homicide),Asian/Pacific Islander,Not Hispanic,Female,,,
A2009201147420,2009-2011,Assault (homicide),Asian/Pacific Islander,Hispanic,Total,0.0,0.0,43.0
A2009201147421,2009-2011,Assault (homicide),Asian/Pacific Islander,Hispanic,Male,0.0,0.0,166.1
A2009201147422,2009-2011,Assault (homicide),Asian/Pacific Islander,Hispanic,Female,0.0,0.0,67.9
A2009201148000,2009-2011,Legal intervention,Total,Total,Total,,,
A2009201148001,2009-2011,Legal intervention,Total,Total,Male,,,
A2009201148002,2009-2011,Legal intervention,Total,Total,Female,0.0,0.0,0.1
A2009201148010,2009-2011,Legal intervention,Total,Not Hispanic,Total,,,
A2009201148011,2009-2011,Legal intervention,Total,Not Hispanic,Male,,,
A2009201148012,2009-2011,Legal intervention,Total,Not Hispanic,Female,0.0,0.0,0.2
A2009201148020,2009-2011,Legal intervention,Total,Hispanic,Total,,,
A2009201148021,2009-2011,Legal intervention,Total,Hispanic,Male,,,
A2009201148022,2009-2011,Legal intervention,Total,Hispanic,Female,0.0,0.0,1.1
A2009201148100,2009-2011,Legal intervention,White,Total,Total,,,
A2009201148101,2009-2011,Legal intervention,White,Total,Male,,,
A2009201148102,2009-2011,Legal intervention,White,Total,Female,0.0,0.0,0.2
A2009201148110,2009-2011,Legal intervention,White,Not Hispanic,Total,,,
A2009201148111,2009-2011,Legal intervention,White,Not Hispanic,Male,,,
A2009201148112,2009-2011,Legal intervention,White,Not Hispanic,Female,0.0,0.0,0.3
A2009201148120,2009-2011,Legal intervention,White,Hispanic,Total,,,
A2009201148121,2009-2011,Legal intervention,White,Hispanic,Male,,,
A2009201148122,2009-2011,Legal intervention,White,Hispanic,Female,0.0,0.0,1.3
A2009201148200,2009-2011,Legal intervention,Black,Total,Total,0.0,0.0,0.5
A2009201148201,2009-2011,Legal intervention,Black,Total,Male,0.0,0.0,1.2
A2009201148202,2009-2011,Legal intervention,Black,Total,Female,0.0,0.0,0.8
A2009201148210,2009-2011,Legal intervention,Black,Not Hispanic,Total,0.0,0.0,0.5
A2009201148211,2009-2011,Legal intervention,Black,Not Hispanic,Male,0.0,0.0,1.3
A2009201148212,2009-2011,Legal intervention,Black,Not Hispanic,Female,0.0,0.0,0.8
A2009201148220,2009-2011,Legal intervention,Black,Hispanic,Total,0.0,0.0,12.7
A2009201148221,2009-2011,Legal intervention,Black,Hispanic,Male,0.0,0.0,38.4
A2009201148222,2009-2011,Legal intervention,Black,Hispanic,Female,0.0,0.0,19.7
A2009201148300,2009-2011,Legal intervention,American Indian/Alaska Native,Total,Total,0.0,0.0,18.5
A2009201148301,2009-2011,Legal intervention,American Indian/Alaska Native,Total,Male,0.0,0.0,50.7
A2009201148302,2009-2011,Legal intervention,American Indian/Alaska Native,Total,Female,0.0,0.0,30.6
A2009201148310,2009-2011,Legal intervention,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.2
A2009201148311,2009-2011,Legal intervention,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,95.6
A2009201148312,2009-2011,Legal intervention,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,72.6
A2009201148320,2009-2011,Legal intervention,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,41.2
A2009201148321,2009-2011,Legal intervention,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,142.0
A2009201148322,2009-2011,Legal intervention,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,63.0
A2009201148400,2009-2011,Legal intervention,Asian/Pacific Islander,Total,Total,,,
A2009201148401,2009-2011,Legal intervention,Asian/Pacific Islander,Total,Male,,,
A2009201148402,2009-2011,Legal intervention,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2009201148410,2009-2011,Legal intervention,Asian/Pacific Islander,Not Hispanic,Total,,,
A2009201148411,2009-2011,Legal intervention,Asian/Pacific Islander,Not Hispanic,Male,,,
A2009201148412,2009-2011,Legal intervention,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2009201148420,2009-2011,Legal intervention,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,43.0
A2009201148421,2009-2011,Legal intervention,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,166.1
A2009201148422,2009-2011,Legal intervention,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,67.9
A2009201149000,2009-2011,Operations of war and their sequelae,Total,Total,Total,0.0,0.0,0.1
A2009201149001,2009-2011,Operations of war and their sequelae,Total,Total,Male,0.0,0.0,0.2
A2009201149002,2009-2011,Operations of war and their sequelae,Total,Total,Female,0.0,0.0,0.1
A2009201149010,2009-2011,Operations of war and their sequelae,Total,Not Hispanic,Total,0.0,0.0,0.1
A2009201149011,2009-2011,Operations of war and their sequelae,Total,Not Hispanic,Male,0.0,0.0,0.2
A2009201149012,2009-2011,Operations of war and their sequelae,Total,Not Hispanic,Female,0.0,0.0,0.2
A2009201149020,2009-2011,Operations of war and their sequelae,Total,Hispanic,Total,0.0,0.0,0.7
A2009201149021,2009-2011,Operations of war and their sequelae,Total,Hispanic,Male,0.0,0.0,1.9
A2009201149022,2009-2011,Operations of war and their sequelae,Total,Hispanic,Female,0.0,0.0,1.1
A2009201149100,2009-2011,Operations of war and their sequelae,White,Total,Total,0.0,0.0,0.1
A2009201149101,2009-2011,Operations of war and their sequelae,White,Total,Male,0.0,0.0,0.2
A2009201149102,2009-2011,Operations of war and their sequelae,White,Total,Female,0.0,0.0,0.2
A2009201149110,2009-2011,Operations of war and their sequelae,White,Not Hispanic,Total,0.0,0.0,0.2
A2009201149111,2009-2011,Operations of war and their sequelae,White,Not Hispanic,Male,0.0,0.0,0.3
A2009201149112,2009-2011,Operations of war and their sequelae,White,Not Hispanic,Female,0.0,0.0,0.3
A2009201149120,2009-2011,Operations of war and their sequelae,White,Hispanic,Total,0.0,0.0,0.7
A2009201149121,2009-2011,Operations of war and their sequelae,White,Hispanic,Male,0.0,0.0,2.1
A2009201149122,2009-2011,Operations of war and their sequelae,White,Hispanic,Female,0.0,0.0,1.3
A2009201149200,2009-2011,Operations of war and their sequelae,Black,Total,Total,0.0,0.0,0.5
A2009201149201,2009-2011,Operations of war and their sequelae,Black,Total,Male,0.0,0.0,1.2
A2009201149202,2009-2011,Operations of war and their sequelae,Black,Total,Female,0.0,0.0,0.8
A2009201149210,2009-2011,Operations of war and their sequelae,Black,Not Hispanic,Total,0.0,0.0,0.5
A2009201149211,2009-2011,Operations of war and their sequelae,Black,Not Hispanic,Male,0.0,0.0,1.3
A2009201149212,2009-2011,Operations of war and their sequelae,Black,Not Hispanic,Female,0.0,0.0,0.8
A2009201149220,2009-2011,Operations of war and their sequelae,Black,Hispanic,Total,0.0,0.0,12.7
A2009201149221,2009-2011,Operations of war and their sequelae,Black,Hispanic,Male,0.0,0.0,38.4
A2009201149222,2009-2011,Operations of war and their sequelae,Black,Hispanic,Female,0.0,0.0,19.7
A2009201149300,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Total,Total,0.0,0.0,18.5
A2009201149301,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Total,Male,0.0,0.0,50.7
A2009201149302,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Total,Female,0.0,0.0,30.6
A2009201149310,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.2
A2009201149311,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,95.6
A2009201149312,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,72.6
A2009201149320,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,41.2
A2009201149321,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,142.0
A2009201149322,2009-2011,Operations of war and their sequelae,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,63.0
A2009201149400,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Total,Total,0.0,0.0,0.5
A2009201149401,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Total,Male,0.0,0.0,1.2
A2009201149402,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Total,Female,0.0,0.0,1.0
A2009201149410,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Not Hispanic,Total,0.0,0.0,0.6
A2009201149411,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2009201149412,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Not Hispanic,Female,0.0,0.0,1.0
A2009201149420,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,43.0
A2009201149421,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,166.1
A2009201149422,2009-2011,Operations of war and their sequelae,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,67.9
A2009201150000,2009-2011,Complications of medical and surgical care,Total,Total,Total,0.7,0.4,1.0
A2009201150001,2009-2011,Complications of medical and surgical care,Total,Total,Male,,,
A2009201150002,2009-2011,Complications of medical and surgical care,Total,Total,Female,1.1,0.6,1.6
A2009201150010,2009-2011,Complications of medical and surgical care,Total,Not Hispanic,Total,0.7,0.4,1.0
A2009201150011,2009-2011,Complications of medical and surgical care,Total,Not Hispanic,Male,,,
A2009201150012,2009-2011,Complications of medical and surgical care,Total,Not Hispanic,Female,1.1,0.6,1.7
A2009201150020,2009-2011,Complications of medical and surgical care,Total,Hispanic,Total,,,
A2009201150021,2009-2011,Complications of medical and surgical care,Total,Hispanic,Male,,,
A2009201150022,2009-2011,Complications of medical and surgical care,Total,Hispanic,Female,,,
A2009201150100,2009-2011,Complications of medical and surgical care,White,Total,Total,0.6,0.3,0.9
A2009201150101,2009-2011,Complications of medical and surgical care,White,Total,Male,,,
A2009201150102,2009-2011,Complications of medical and surgical care,White,Total,Female,,,
A2009201150110,2009-2011,Complications of medical and surgical care,White,Not Hispanic,Total,,,
A2009201150111,2009-2011,Complications of medical and surgical care,White,Not Hispanic,Male,,,
A2009201150112,2009-2011,Complications of medical and surgical care,White,Not Hispanic,Female,,,
A2009201150120,2009-2011,Complications of medical and surgical care,White,Hispanic,Total,,,
A2009201150121,2009-2011,Complications of medical and surgical care,White,Hispanic,Male,,,
A2009201150122,2009-2011,Complications of medical and surgical care,White,Hispanic,Female,0.0,0.0,1.3
A2009201150200,2009-2011,Complications of medical and surgical care,Black,Total,Total,,,
A2009201150201,2009-2011,Complications of medical and surgical care,Black,Total,Male,,,
A2009201150202,2009-2011,Complications of medical and surgical care,Black,Total,Female,,,
A2009201150210,2009-2011,Complications of medical and surgical care,Black,Not Hispanic,Total,,,
A2009201150211,2009-2011,Complications of medical and surgical care,Black,Not Hispanic,Male,,,
A2009201150212,2009-2011,Complications of medical and surgical care,Black,Not Hispanic,Female,,,
A2009201150220,2009-2011,Complications of medical and surgical care,Black,Hispanic,Total,0.0,0.0,12.7
A2009201150221,2009-2011,Complications of medical and surgical care,Black,Hispanic,Male,0.0,0.0,38.4
A2009201150222,2009-2011,Complications of medical and surgical care,Black,Hispanic,Female,0.0,0.0,19.7
A2009201150300,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Total,Total,,,
A2009201150301,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Total,Male,0.0,0.0,50.7
A2009201150302,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Total,Female,,,
A2009201150310,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Not Hispanic,Total,,,
A2009201150311,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,95.6
A2009201150312,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Not Hispanic,Female,,,
A2009201150320,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,41.2
A2009201150321,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,142.0
A2009201150322,2009-2011,Complications of medical and surgical care,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,63.0
A2009201150400,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Total,Total,,,
A2009201150401,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Total,Male,,,
A2009201150402,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Total,Female,,,
A2009201150410,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Not Hispanic,Total,,,
A2009201150411,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Not Hispanic,Male,0.0,0.0,1.2
A2009201150412,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Not Hispanic,Female,,,
A2009201150420,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Hispanic,Total,,,
A2009201150421,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Hispanic,Male,,,
A2009201150422,2009-2011,Complications of medical and surgical care,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,67.9
A2009201151000,2009-2011,Events of undetermined intent,Total,Total,Total,3.2,2.5,3.8
A2009201151001,2009-2011,Events of undetermined intent,Total,Total,Male,4.1,3.0,5.2
A2009201151002,2009-2011,Events of undetermined intent,Total,Total,Female,2.3,1.6,3.1
A2009201151010,2009-2011,Events of undetermined intent,Total,Not Hispanic,Total,3.4,2.7,4.1
A2009201151011,2009-2011,Events of undetermined intent,Total,Not Hispanic,Male,4.3,3.1,5.5
A2009201151012,2009-2011,Events of undetermined intent,Total,Not Hispanic,Female,2.6,1.7,3.5
A2009201151020,2009-2011,Events of undetermined intent,Total,Hispanic,Total,,,
A2009201151021,2009-2011,Events of undetermined intent,Total,Hispanic,Male,,,
A2009201151022,2009-2011,Events of undetermined intent,Total,Hispanic,Female,,,
A2009201151100,2009-2011,Events of undetermined intent,White,Total,Total,4.0,3.1,4.9
A2009201151101,2009-2011,Events of undetermined intent,White,Total,Male,4.7,3.3,6.1
A2009201151102,2009-2011,Events of undetermined intent,White,Total,Female,3.2,2.1,4.4
A2009201151110,2009-2011,Events of undetermined intent,White,Not Hispanic,Total,4.6,3.5,5.8
A2009201151111,2009-2011,Events of undetermined intent,White,Not Hispanic,Male,5.4,3.6,7.3
A2009201151112,2009-2011,Events of undetermined intent,White,Not Hispanic,Female,3.8,2.4,5.3
A2009201151120,2009-2011,Events of undetermined intent,White,Hispanic,Total,,,
A2009201151121,2009-2011,Events of undetermined intent,White,Hispanic,Male,,,
A2009201151122,2009-2011,Events of undetermined intent,White,Hispanic,Female,,,
A2009201151200,2009-2011,Events of undetermined intent,Black,Total,Total,2.8,1.3,4.2
A2009201151201,2009-2011,Events of undetermined intent,Black,Total,Male,,,
A2009201151202,2009-2011,Events of undetermined intent,Black,Total,Female,,,
A2009201151210,2009-2011,Events of undetermined intent,Black,Not Hispanic,Total,2.9,1.4,4.5
A2009201151211,2009-2011,Events of undetermined intent,Black,Not Hispanic,Male,,,
A2009201151212,2009-2011,Events of undetermined intent,Black,Not Hispanic,Female,,,
A2009201151220,2009-2011,Events of undetermined intent,Black,Hispanic,Total,0.0,0.0,12.7
A2009201151221,2009-2011,Events of undetermined intent,Black,Hispanic,Male,0.0,0.0,38.4
A2009201151222,2009-2011,Events of undetermined intent,Black,Hispanic,Female,0.0,0.0,19.7
A2009201151300,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Total,Total,0.0,0.0,18.5
A2009201151301,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Total,Male,0.0,0.0,50.7
A2009201151302,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Total,Female,0.0,0.0,30.6
A2009201151310,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.2
A2009201151311,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,95.6
A2009201151312,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,72.6
A2009201151320,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Hispanic,Total,0.0,0.0,41.2
A2009201151321,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Hispanic,Male,0.0,0.0,142.0
A2009201151322,2009-2011,Events of undetermined intent,American Indian/Alaska Native,Hispanic,Female,0.0,0.0,63.0
A2009201151400,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Total,Total,,,
A2009201151401,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Total,Male,,,
A2009201151402,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Total,Female,,,
A2009201151410,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Not Hispanic,Total,,,
A2009201151411,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Not Hispanic,Male,,,
A2009201151412,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Not Hispanic,Female,,,
A2009201151420,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Hispanic,Total,0.0,0.0,43.0
A2009201151421,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Hispanic,Male,0.0,0.0,166.1
A2009201151422,2009-2011,Events of undetermined intent,Asian/Pacific Islander,Hispanic,Female,0.0,0.0,67.9
A2009201152000,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Total,Total,4.2,3.5,4.9
A2009201152001,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Total,Male,5.1,3.9,6.3
A2009201152002,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Total,Female,3.4,2.5,4.3
A2009201152010,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Not Hispanic,Total,4.2,3.5,5.0
A2009201152011,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Not Hispanic,Male,5.0,3.7,6.3
A2009201152012,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Not Hispanic,Female,3.5,2.5,4.5
A2009201152020,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Hispanic,Total,,,
A2009201152021,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Hispanic,Male,,,
A2009201152022,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Total,Hispanic,Female,,,
A2009201152100,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Total,Total,4.2,3.3,5.0
A2009201152101,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Total,Male,5.1,3.6,6.5
A2009201152102,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Total,Female,3.3,2.3,4.3
A2009201152110,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Not Hispanic,Total,4.1,3.1,5.0
A2009201152111,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Not Hispanic,Male,4.6,3.1,6.1
A2009201152112,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Not Hispanic,Female,3.5,2.3,4.7
A2009201152120,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Hispanic,Total,,,
A2009201152121,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Hispanic,Male,,,
A2009201152122,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",White,Hispanic,Female,,,
A2009201152200,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Total,Total,6.5,4.1,8.9
A2009201152201,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Total,Male,9.4,4.5,14.2
A2009201152202,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Total,Female,4.6,1.9,7.4
A2009201152210,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Not Hispanic,Total,6.9,4.4,9.4
A2009201152211,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Not Hispanic,Male,9.9,4.8,15.0
A2009201152212,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Not Hispanic,Female,4.9,2.0,7.8
A2009201152220,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Hispanic,Total,0.0,0.0,12.7
A2009201152221,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Hispanic,Male,0.0,0.0,38.4
A2009201152222,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Black,Hispanic,Female,0.0,0.0,19.7
A2009201152300,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Total,Total,0.0,0.0,18.5
A2009201152301,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Total,Male,0.0,0.0,50.7
A2009201152302,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Total,Female,0.0,0.0,30.6
A2009201152310,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Not Hispanic,Total,0.0,0.0,39.2
A2009201152311,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Not Hispanic,Male,0.0,0.0,95.6
A2009201152312,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Not Hispanic,Female,0.0,0.0,72.6
A2009201152320,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Hispanic,Total,0.0,0.0,41.2
A2009201152321,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Hispanic,Male,0.0,0.0,142.0
A2009201152322,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",American Indian/Alaska Native,Hispanic,Female,0.0,0.0,63.0
A2009201152400,2009-2011,"Symptoms, signs, and abnormal clinical and laboratory findings",Asian/Pacific Islander,Total,Total,,,
